,0,1,2,3,4
72,2.8128,49.8454,[0.00180981],2.8128_49.8454.tif,Ablaincourt-Pressoir
73,2.8142,49.8314,[0.00124862],2.8142_49.8314.tif,Ablaincourt-Pressoir
74,2.8128,49.8384,[0.00132908],2.8128_49.8384.tif,Ablaincourt-Pressoir
75,2.8142,49.8454,[0.00249908],2.8142_49.8454.tif,Ablaincourt-Pressoir
76,2.8156,49.8314,[0.00540396],2.8156_49.8314.tif,Ablaincourt-Pressoir
77,2.8142,49.8384,[0.00227747],2.8142_49.8384.tif,Ablaincourt-Pressoir
78,2.8156,49.8454,[0.00267658],2.8156_49.8454.tif,Ablaincourt-Pressoir
79,2.817,49.8314,[0.000966],2.817_49.8314.tif,Ablaincourt-Pressoir
80,2.8156,49.8384,[0.00249663],2.8156_49.8384.tif,Ablaincourt-Pressoir
81,2.817,49.8454,[0.00110272],2.817_49.8454.tif,Ablaincourt-Pressoir
82,2.8184,49.8314,[0.0011229],2.8184_49.8314.tif,Ablaincourt-Pressoir
83,2.817,49.8384,[0.00161531],2.817_49.8384.tif,Ablaincourt-Pressoir
84,2.8184,49.8454,[0.00102404],2.8184_49.8454.tif,Ablaincourt-Pressoir
85,2.8198,49.8314,[0.0021567],2.8198_49.8314.tif,Ablaincourt-Pressoir
86,2.8184,49.8384,[0.00080938],2.8184_49.8384.tif,Ablaincourt-Pressoir
87,2.8198,49.8454,[0.00118022],2.8198_49.8454.tif,Ablaincourt-Pressoir
88,2.8212,49.8314,[0.00081534],2.8212_49.8314.tif,Ablaincourt-Pressoir
89,2.8198,49.8384,[1.070791e-05],2.8198_49.8384.tif,Ablaincourt-Pressoir
90,2.8212,49.8454,[0.00231269],2.8212_49.8454.tif,Ablaincourt-Pressoir
91,2.8226,49.8314,[0.00045651],2.8226_49.8314.tif,Ablaincourt-Pressoir
92,2.8212,49.8384,[3.0921699e-09],2.8212_49.8384.tif,Ablaincourt-Pressoir
93,2.8226,49.8454,[0.0066389],2.8226_49.8454.tif,Ablaincourt-Pressoir
94,2.824,49.8314,[0.00032976],2.824_49.8314.tif,Ablaincourt-Pressoir
95,2.8226,49.8384,[0.00149692],2.8226_49.8384.tif,Ablaincourt-Pressoir
96,2.824,49.8454,[0.00084301],2.824_49.8454.tif,Ablaincourt-Pressoir
97,2.8254,49.8314,[0.00057209],2.8254_49.8314.tif,Ablaincourt-Pressoir
98,2.824,49.8384,[0.00234137],2.824_49.8384.tif,Ablaincourt-Pressoir
99,2.8254,49.8454,[0.00075482],2.8254_49.8454.tif,Ablaincourt-Pressoir
