Name,Betreiber1,Betreiber2,n_Anlagen,KW,Type,Jahr,Lat,Long,url,Hersteller,Nabenhoehe,Rotordurchmesser,Name_Save,Park,id,quality
"Pöttelsdorf_II, Anlage 4",evn naturkraft Erzeugungsgesellschaft m.b.H,---,4,2300,Bonus 2.3,2005,47.7686,16.41513,www.evn-naturkraft.at,Bonus,100,80,"Pöttelsdorf II, Anlage 4",Pöttelsdorf_II,273,95
"Sternwald_II, Anlage 1",-,---,6,2e3,V90,2005,48.578581,14.230144,-,Vestas,105,90,"Sternwald II, Anlage 1",Sternwald_II,274,100
"Sternwald_II, Anlage 2",-,---,6,2e3,V90,2005,48.582056,14.227117,-,Vestas,105,90,"Sternwald II, Anlage 2",Sternwald_II,275,90
"Sternwald_II, Anlage 3",-,---,6,2e3,V90,2005,48.578803,14.222736,-,Vestas,105,90,"Sternwald II, Anlage 3",Sternwald_II,276,90
"Sternwald_II, Anlage 4",-,---,6,2e3,V90,2005,48.579406,14.216733,-,Vestas,105,90,"Sternwald II, Anlage 4",Sternwald_II,277,100
"Sternwald_II, Anlage 5",-,---,6,2e3,V90,2005,48.581042,14.210244,-,Vestas,105,90,"Sternwald II, Anlage 5",Sternwald_II,278,90
"Sternwald_II, Anlage 6",-,---,6,2e3,V90,2005,48.579481,14.237611,-,Vestas,105,90,"Sternwald II, Anlage 6",Sternwald_II,279,90
"Potzneusiedl_III, Anlage 1",-,---,2,2e3,E70 E4,2005,48.032222,16.922778,-,Enercon,113,71,"Potzneusiedl III, Anlage 1",Potzneusiedl_III,280,100
"Potzneusiedl_III, Anlage 2",-,---,2,2e3,E70 E4,2005,48.036389,16.927222,-,Enercon,113,71,"Potzneusiedl III, Anlage 2",Potzneusiedl_III,281,90
"Schrick_V, Anlage 1",-,---,1,2e3,E70 E4,2005,48.517912,16.601102,-,Enercon,85,71,"Schrick V, Anlage 1",Schrick_V,282,95
"Eibesbrunn_I-IV, Anlage 1",-,---,4,2e3,E70 E4,2005,48.330402,16.524509,-,Enercon,98,70,"Eibesbrunn I-IV, Anlage 1",Eibesbrunn_I-IV,283,95
"Eibesbrunn_I-IV, Anlage 2",-,---,4,2e3,E70 E4,2005,48.341401,16.521045,-,Enercon,98,70,"Eibesbrunn I-IV, Anlage 2",Eibesbrunn_I-IV,284,95
"Eibesbrunn_I-IV, Anlage 3",-,---,4,2e3,E70 E4,2005,48.337333,16.522119,-,Enercon,98,70,"Eibesbrunn I-IV, Anlage 3",Eibesbrunn_I-IV,285,95
"Eibesbrunn_I-IV, Anlage 4",-,---,4,2e3,E70 E4,2005,48.333387,16.523334,-,Enercon,98,70,"Eibesbrunn I-IV, Anlage 4",Eibesbrunn_I-IV,286,90
"Zistersdorf-Maustrenk,_Anlage 1",WEB Windenergie AG,---,6,2e3,V90,2005,48.542845,16.70675,www.windenergie.at,Vestas,105,90,"Zistersdorf-Maustrenk, Anlage 1",Zistersdorf-Maustrenk,287,90
"Zistersdorf-Maustrenk,_Anlage 2",WEB Windenergie AG,---,6,2e3,V90,2005,48.545165,16.709327,www.windenergie.at,Vestas,105,90,"Zistersdorf-Maustrenk, Anlage 2",Zistersdorf-Maustrenk,288,95
"Zistersdorf-Maustrenk,_Anlage 3",WEB Windenergie AG,---,6,2e3,V90,2005,48.548245,16.711399,www.windenergie.at,Vestas,105,90,"Zistersdorf-Maustrenk, Anlage 3",Zistersdorf-Maustrenk,289,95
"Zistersdorf-Maustrenk,_Anlage 4",WEB Windenergie AG,---,6,2e3,V90,2005,48.550793,16.714366,www.windenergie.at,Vestas,105,90,"Zistersdorf-Maustrenk, Anlage 4",Zistersdorf-Maustrenk,290,100
"Zistersdorf-Maustrenk,_Anlage 5",WEB Windenergie AG,---,6,2e3,V90,2005,48.555348,16.710148,www.windenergie.at,Vestas,105,90,"Zistersdorf-Maustrenk, Anlage 5",Zistersdorf-Maustrenk,291,100
"Zistersdorf-Maustrenk,_Anlage 6",WEB Windenergie AG,---,6,2e3,V90,2005,48.551282,16.706832,www.windenergie.at,Vestas,105,90,"Zistersdorf-Maustrenk, Anlage 6",Zistersdorf-Maustrenk,292,100
"Höbersbrunn_I, Anlage 1",-,---,1,2e3,E70 E4,2005,48.5189,16.58604,-,Enercon,114,71,"Höbersbrunn I, Anlage 1",Höbersbrunn_I,293,100
"Rannersdorf,_Anlage 1",Windkraft Simonsfeld AG,---,4,2e3,V90,2005,48.618372,16.696353,www.wksimonsfeld.at,Vestas,105,90,"Rannersdorf, Anlage 1",Rannersdorf,294,90
"Rannersdorf,_Anlage 2",Windkraft Simonsfeld AG,---,4,2e3,V90,2005,48.627514,16.680003,www.wksimonsfeld.at,Vestas,105,90,"Rannersdorf, Anlage 2",Rannersdorf,295,100
"Rannersdorf,_Anlage 3",Windkraft Simonsfeld AG,---,4,2e3,V90,2005,48.620347,16.688825,www.wksimonsfeld.at,Vestas,105,90,"Rannersdorf, Anlage 3",Rannersdorf,296,90
"Rannersdorf,_Anlage 4",Windkraft Simonsfeld AG,---,4,2e3,V90,2005,48.623483,16.683122,www.wksimonsfeld.at,Vestas,105,90,"Rannersdorf, Anlage 4",Rannersdorf,297,100
"Potzneusiedl_II, Anlage 1",-,---,2,2e3,E70 E4,2005,48.028165,16.930923,-,Enercon,113,71,"Potzneusiedl II, Anlage 1",Potzneusiedl_II,298,100
"Potzneusiedl_II, Anlage 2",-,---,2,2e3,E70 E4,2005,48.031695,16.93489,-,Enercon,113,71,"Potzneusiedl II, Anlage 2",Potzneusiedl_II,299,90
"Potzneusiedl_I, Anlage 1",Energie Burgenland Windkraft GmbH,---,5,2e3,E70,2005,48.039137,16.910789,www.energieburgenland.at,Enercon,113,71,"Potzneusiedl I, Anlage 1",Potzneusiedl_I,300,80
"Potzneusiedl_I, Anlage 2",Energie Burgenland Windkraft GmbH,---,5,2e3,E70,2005,48.042139,16.914164,www.energieburgenland.at,Enercon,113,71,"Potzneusiedl I, Anlage 2",Potzneusiedl_I,301,70
"Potzneusiedl_I, Anlage 3",Energie Burgenland Windkraft GmbH,---,5,2e3,E70,2005,48.045141,16.917538,www.energieburgenland.at,Enercon,113,71,"Potzneusiedl I, Anlage 3",Potzneusiedl_I,302,100
"Potzneusiedl_I, Anlage 4",Energie Burgenland Windkraft GmbH,---,5,2e3,E70,2005,48.037618,16.919081,www.energieburgenland.at,Enercon,113,71,"Potzneusiedl I, Anlage 4",Potzneusiedl_I,303,85
"Potzneusiedl_I, Anlage 5",Energie Burgenland Windkraft GmbH,---,5,2e3,E70,2005,48.041509,16.923446,www.energieburgenland.at,Enercon,113,71,"Potzneusiedl I, Anlage 5",Potzneusiedl_I,304,100
"Deutschkreuz,_Anlage 1",Energie Burgenland Windkraft GmbH,---,7,2e3,MM82,2005,47.583097,16.620805,www.energieburgenland.at,Repower,100,82,"Deutschkreuz, Anlage 1",Deutschkreuz,305,100
"Deutschkreuz,_Anlage 2",Energie Burgenland Windkraft GmbH,---,7,2e3,MM82,2005,47.579602,16.620924,www.energieburgenland.at,Repower,100,82,"Deutschkreuz, Anlage 2",Deutschkreuz,306,95
"Deutschkreuz,_Anlage 3",Energie Burgenland Windkraft GmbH,---,7,2e3,MM82,2005,47.582895,16.625268,www.energieburgenland.at,Repower,100,82,"Deutschkreuz, Anlage 3",Deutschkreuz,307,95
"Deutschkreuz,_Anlage 4",Energie Burgenland Windkraft GmbH,---,7,2e3,MM82,2005,47.57751,16.61373,www.energieburgenland.at,Repower,100,82,"Deutschkreuz, Anlage 4",Deutschkreuz,308,100
"Deutschkreuz,_Anlage 5",Energie Burgenland Windkraft GmbH,---,7,2e3,MM82,2005,47.58113,16.6288,www.energieburgenland.at,Repower,100,82,"Deutschkreuz, Anlage 5",Deutschkreuz,309,95
"Deutschkreuz,_Anlage 6",Energie Burgenland Windkraft GmbH,---,7,2e3,MM82,2005,47.57675,16.61784,www.energieburgenland.at,Repower,100,82,"Deutschkreuz, Anlage 6",Deutschkreuz,310,100
"Deutschkreuz,_Anlage 7",Energie Burgenland Windkraft GmbH,---,7,2e3,MM82,2005,47.581563,16.614414,www.energieburgenland.at,Repower,100,82,"Deutschkreuz, Anlage 7",Deutschkreuz,311,0
"Berg,_Anlage 1",ContourGlobal Windpark Berg GmbH,---,9,2e3,V80,2005,48.09075,17.01662,www.contourglobal.com,Vestas,100,80,"Berg, Anlage 1",Berg,312,100
"Berg,_Anlage 2",ContourGlobal Windpark Berg GmbH,---,9,2e3,V80,2005,48.09432,17.01729,www.contourglobal.com,Vestas,100,80,"Berg, Anlage 2",Berg,313,90
"Berg,_Anlage 3",ContourGlobal Windpark Berg GmbH,---,9,2e3,V80,2005,48.09613,17.02432,www.contourglobal.com,Vestas,100,80,"Berg, Anlage 3",Berg,314,90
"Berg,_Anlage 4",ContourGlobal Windpark Berg GmbH,---,9,2e3,V80,2005,48.092529999999996,17.02288,www.contourglobal.com,Vestas,100,80,"Berg, Anlage 4",Berg,315,20
"Berg,_Anlage 5",ContourGlobal Windpark Berg GmbH,---,9,2e3,V80,2005,48.09127,17.03076,www.contourglobal.com,Vestas,100,80,"Berg, Anlage 5",Berg,316,90
"Berg,_Anlage 6",ContourGlobal Windpark Berg GmbH,---,9,2e3,V80,2005,48.08768,17.02918,www.contourglobal.com,Vestas,100,80,"Berg, Anlage 6",Berg,317,90
"Berg,_Anlage 7",ContourGlobal Windpark Berg GmbH,---,9,2e3,V80,2005,48.09033,17.03703,www.contourglobal.com,Vestas,100,80,"Berg, Anlage 7",Berg,318,90
"Berg,_Anlage 8",ContourGlobal Windpark Berg GmbH,---,9,2e3,V80,2005,48.08609,17.03593,www.contourglobal.com,Vestas,100,80,"Berg, Anlage 8",Berg,319,90
"Berg,_Anlage 9",ContourGlobal Windpark Berg GmbH,---,9,2e3,V80,2005,48.09075,17.01662,www.contourglobal.com,Vestas,100,80,"Berg, Anlage 9",Berg,320,80
"Poysdorf-Wilfersdorf,_Anlage 1",Windkraft Simonsfeld AG,---,9,2e3,V90,2005,48.634558,16.622294,www.wksimonsfeld.at,Vestas,105,90,"Poysdorf-Wilfersdorf, Anlage 1",Poysdorf-Wilfersdorf,321,95
"Poysdorf-Wilfersdorf,_Anlage 2",Windkraft Simonsfeld AG,---,9,2e3,V90,2005,48.6201,16.610942,www.wksimonsfeld.at,Vestas,105,90,"Poysdorf-Wilfersdorf, Anlage 2",Poysdorf-Wilfersdorf,322,90
"Poysdorf-Wilfersdorf,_Anlage 3",Windkraft Simonsfeld AG,---,9,2e3,V90,2005,48.638,16.616697,www.wksimonsfeld.at,Vestas,105,90,"Poysdorf-Wilfersdorf, Anlage 3",Poysdorf-Wilfersdorf,323,100
"Poysdorf-Wilfersdorf,_Anlage 4",Windkraft Simonsfeld AG,---,9,2e3,V90,2005,48.630186,16.616653,www.wksimonsfeld.at,Vestas,105,90,"Poysdorf-Wilfersdorf, Anlage 4",Poysdorf-Wilfersdorf,324,100
"Poysdorf-Wilfersdorf,_Anlage 5",Windkraft Simonsfeld AG,---,9,2e3,V90,2005,48.628089,16.613564,www.wksimonsfeld.at,Vestas,105,90,"Poysdorf-Wilfersdorf, Anlage 5",Poysdorf-Wilfersdorf,325,90
"Poysdorf-Wilfersdorf,_Anlage 6",Windkraft Simonsfeld AG,---,9,2e3,V90,2005,48.612158,16.632758,www.wksimonsfeld.at,Vestas,105,90,"Poysdorf-Wilfersdorf, Anlage 6",Poysdorf-Wilfersdorf,326,90
"Poysdorf-Wilfersdorf,_Anlage 7",Windkraft Simonsfeld AG,---,9,2e3,V90,2005,48.60555,16.632722,www.wksimonsfeld.at,Vestas,105,90,"Poysdorf-Wilfersdorf, Anlage 7",Poysdorf-Wilfersdorf,327,90
"Poysdorf-Wilfersdorf,_Anlage 8",Windkraft Simonsfeld AG,---,9,2e3,V90,2005,48.610383,16.641578,www.wksimonsfeld.at,Vestas,105,90,"Poysdorf-Wilfersdorf, Anlage 8",Poysdorf-Wilfersdorf,328,95
"Poysdorf-Wilfersdorf,_Anlage 9",Windkraft Simonsfeld AG,---,9,2e3,V90,2005,48.620453,16.617739,www.wksimonsfeld.at,Vestas,105,90,"Poysdorf-Wilfersdorf, Anlage 9",Poysdorf-Wilfersdorf,329,95
"Kreuzstetten,_Anlage 1",Windkraft Simonsfeld AG,---,10,2e3,V90,2005,48.50272,16.44529,www.wksimonsfeld.at,Vestas,105,90,"Kreuzstetten, Anlage 1",Kreuzstetten,330,NA
"Kreuzstetten,_Anlage 2",Windkraft Simonsfeld AG,---,10,2e3,V90,2005,48.49469,16.42814,www.wksimonsfeld.at,Vestas,105,90,"Kreuzstetten, Anlage 2",Kreuzstetten,331,0
"Kreuzstetten,_Anlage 3",Windkraft Simonsfeld AG,---,10,2e3,V90,2005,48.50939,16.44313,www.wksimonsfeld.at,Vestas,105,90,"Kreuzstetten, Anlage 3",Kreuzstetten,332,95
"Kreuzstetten,_Anlage 4",Windkraft Simonsfeld AG,---,10,2e3,V90,2005,48.50588,16.44257,www.wksimonsfeld.at,Vestas,105,90,"Kreuzstetten, Anlage 4",Kreuzstetten,333,95
"Kreuzstetten,_Anlage 5",Windkraft Simonsfeld AG,---,10,2e3,V90,2005,48.50494,16.46341,www.wksimonsfeld.at,Vestas,105,90,"Kreuzstetten, Anlage 5",Kreuzstetten,334,95
"Kreuzstetten,_Anlage 6",Windkraft Simonsfeld AG,---,10,2e3,V90,2005,48.50417,16.45159,www.wksimonsfeld.at,Vestas,105,90,"Kreuzstetten, Anlage 6",Kreuzstetten,335,95
"Kreuzstetten,_Anlage 7",Windkraft Simonsfeld AG,---,10,2e3,V90,2005,48.50826,16.45665,www.wksimonsfeld.at,Vestas,105,90,"Kreuzstetten, Anlage 7",Kreuzstetten,336,95
"Kreuzstetten,_Anlage 8",Windkraft Simonsfeld AG,---,10,2e3,V90,2005,48.5001,16.43996,www.wksimonsfeld.at,Vestas,105,90,"Kreuzstetten, Anlage 8",Kreuzstetten,337,95
"Kreuzstetten,_Anlage 9",Windkraft Simonsfeld AG,---,10,2e3,V90,2005,48.49899,16.4332,www.wksimonsfeld.at,Vestas,105,90,"Kreuzstetten, Anlage 9",Kreuzstetten,338,100
"Kreuzstetten,_Anlage 10",Windkraft Simonsfeld AG,---,10,2e3,V90,2005,48.50249,16.45775,www.wksimonsfeld.at,Vestas,105,90,"Kreuzstetten, Anlage 10",Kreuzstetten,339,95
"Japons_II, Anlage 1",evn naturkraft Erzeugungsgesellschaft m.b.H,---,7,2e3,D8,2005,48.78709527,15.53077577,www.evn-naturkraft.at,Dewind,100,80,"Japons II, Anlage 1",Japons_II,340,95
"Japons_II, Anlage 2",evn naturkraft Erzeugungsgesellschaft m.b.H,---,7,2e3,D8,2005,48.78004065,15.51258399,www.evn-naturkraft.at,Dewind,100,80,"Japons II, Anlage 2",Japons_II,341,90
"Japons_II, Anlage 3",evn naturkraft Erzeugungsgesellschaft m.b.H,---,7,2e3,D8,2005,48.7845325,15.52821765,www.evn-naturkraft.at,Dewind,100,80,"Japons II, Anlage 3",Japons_II,342,95
"Japons_II, Anlage 4",evn naturkraft Erzeugungsgesellschaft m.b.H,---,7,2e3,D8,2005,48.77743755,15.51158299,www.evn-naturkraft.at,Dewind,100,80,"Japons II, Anlage 4",Japons_II,343,90
"Japons_II, Anlage 5",evn naturkraft Erzeugungsgesellschaft m.b.H,---,7,2e3,D8,2005,48.78801866,15.5226909,www.evn-naturkraft.at,Dewind,100,80,"Japons II, Anlage 5",Japons_II,344,95
"Japons_II, Anlage 6",evn naturkraft Erzeugungsgesellschaft m.b.H,---,7,2e3,D8,2005,48.79435401,15.52718888,www.evn-naturkraft.at,Dewind,100,80,"Japons II, Anlage 6",Japons_II,345,95
"Japons_II, Anlage 7",evn naturkraft Erzeugungsgesellschaft m.b.H,---,7,2e3,D8,2005,48.79101398,15.52408511,www.evn-naturkraft.at,Dewind,100,80,"Japons II, Anlage 7",Japons_II,346,90
"Sigleß,_Anlage 1",WEB Windenergie AG,---,3,2e3,V90,2005,47.76609,16.41272,www.windenergie.at,Vestas,95,90,"Sigleß, Anlage 1",Sigleß,347,50
"Sigleß,_Anlage 2",WEB Windenergie AG,---,3,2e3,V90,2005,47.76368,16.41002,www.windenergie.at,Vestas,95,90,"Sigleß, Anlage 2",Sigleß,348,70
"Sigleß,_Anlage 3",WEB Windenergie AG,---,3,2e3,V90,2005,47.76186,16.40635,www.windenergie.at,Vestas,95,90,"Sigleß, Anlage 3",Sigleß,349,80
"Aspersdorf,_Anlage 1",WEB Windenergie AG,---,1,2e3,V90,2005,48.59817,16.12124,www.windenergie.at,Vestas,105,90,"Aspersdorf, Anlage 1",Aspersdorf,350,90
"Gols_V, Anlage 1",WEB Windenergie AG,---,2,2e3,V90,2005,47.935278,16.953056,www.windenergie.at,Vestas,80,90,"Gols V, Anlage 1",Gols_V,351,100
"Gols_V, Anlage 2",WEB Windenergie AG,---,2,2e3,V90,2005,47.928833,16.964333,www.windenergie.at,Vestas,80,90,"Gols V, Anlage 2",Gols_V,352,100
"Zurndorf_neu, Anlage 1",EPZ Energieprojekt Zurndorf GmbH & Co KG,---,3,2e3,E70,2005,47.97412,16.98391,www.energieburgenland.at,Enercon,114,71,"Zurndorf neu, Anlage 1",Zurndorf_neu,353,80
"Zurndorf_neu, Anlage 2",EPZ Energieprojekt Zurndorf GmbH & Co KG,---,3,2e3,E70,2005,47.97041,16.9779,www.energieburgenland.at,Enercon,114,71,"Zurndorf neu, Anlage 2",Zurndorf_neu,354,100
"Zurndorf_neu, Anlage 3",EPZ Energieprojekt Zurndorf GmbH & Co KG,---,3,2e3,E70,2005,47.96608,16.98656,www.energieburgenland.at,Enercon,114,71,"Zurndorf neu, Anlage 3",Zurndorf_neu,355,90
"Spannberg_I, Anlage 1",WEB Windenergie AG,---,3,2e3,V90,2005,48.449554,16.710371,www.windenergie.at,Vestas,100,90,"Spannberg I, Anlage 1",Spannberg_I,356,95
"Spannberg_I, Anlage 2",WEB Windenergie AG,---,3,2e3,V90,2005,48.451541,16.706044,www.windenergie.at,Vestas,100,90,"Spannberg I, Anlage 2",Spannberg_I,357,100
"Spannberg_I, Anlage 3",WEB Windenergie AG,---,3,2e3,V90,2005,48.451391,16.699649,www.windenergie.at,Vestas,100,90,"Spannberg I, Anlage 3",Spannberg_I,358,95
"Pottenbrunn_III, Anlage 1",WEB Windenergie AG,---,1,2e3,V80,2005,48.246667,15.725278,www.windenergie.at,Vestas,78,90,"Pottenbrunn III, Anlage 1",Pottenbrunn_III,359,100
"Gols_IV, Anlage 1",WEB Windenergie AG,---,1,2e3,V80,2005,47.938333,16.949722,www.windenergie.at,Vestas,100,80,"Gols IV, Anlage 1",Gols_IV,360,95
"Neuhof_II, Anlage 1",WEB Windenergie AG,---,2,2e3,V90,2005,48.054167,16.899722,www.windenergie.at,Vestas,105,90,"Neuhof II, Anlage 1",Neuhof_II,361,0
"Neuhof_II, Anlage 2",WEB Windenergie AG,---,2,2e3,V90,2005,48.056944,16.901944,www.windenergie.at,Vestas,105,90,"Neuhof II, Anlage 2",Neuhof_II,362,0
"Obersiebenbrunn_I-XIII, Anlage 1",-,---,13,2e3,E70 E4,2006,48.28768219,16.6896851,-,Enercon,86,71,"Obersiebenbrunn I-XIII, Anlage 1",Obersiebenbrunn_I-XIII,363,90
"Obersiebenbrunn_I-XIII, Anlage 2",-,---,13,2e3,E70 E4,2006,48.28361676,16.67839055,-,Enercon,86,71,"Obersiebenbrunn I-XIII, Anlage 2",Obersiebenbrunn_I-XIII,364,90
"Obersiebenbrunn_I-XIII, Anlage 3",-,---,13,2e3,E70 E4,2006,48.28146584,16.69870865,-,Enercon,86,71,"Obersiebenbrunn I-XIII, Anlage 3",Obersiebenbrunn_I-XIII,365,85
"Obersiebenbrunn_I-XIII, Anlage 4",-,---,13,2e3,E70 E4,2006,48.28993866,16.694129,-,Enercon,86,71,"Obersiebenbrunn I-XIII, Anlage 4",Obersiebenbrunn_I-XIII,366,85
"Obersiebenbrunn_I-XIII, Anlage 5",-,---,13,2e3,E70 E4,2006,48.2861017,16.68525254,-,Enercon,86,71,"Obersiebenbrunn I-XIII, Anlage 5",Obersiebenbrunn_I-XIII,367,90
"Obersiebenbrunn_I-XIII, Anlage 6",-,---,13,2e3,E70 E4,2006,48.28485803,16.68186558,-,Enercon,86,71,"Obersiebenbrunn I-XIII, Anlage 6",Obersiebenbrunn_I-XIII,368,90
"Obersiebenbrunn_I-XIII, Anlage 7",-,---,13,2e3,E70 E4,2006,48.28094055,16.67091627,-,Enercon,86,71,"Obersiebenbrunn I-XIII, Anlage 7",Obersiebenbrunn_I-XIII,369,100
"Obersiebenbrunn_I-XIII, Anlage 8",-,---,13,2e3,E70 E4,2006,48.29273022,16.71331785,-,Enercon,86,71,"Obersiebenbrunn I-XIII, Anlage 8",Obersiebenbrunn_I-XIII,370,90
"Obersiebenbrunn_I-XIII, Anlage 9",-,---,13,2e3,E70 E4,2006,48.28759908,16.70824717,-,Enercon,86,71,"Obersiebenbrunn I-XIII, Anlage 9",Obersiebenbrunn_I-XIII,371,85
"Obersiebenbrunn_I-XIII, Anlage 10",-,---,13,2e3,E70 E4,2006,48.28555475,16.7050675,-,Enercon,86,71,"Obersiebenbrunn I-XIII, Anlage 10",Obersiebenbrunn_I-XIII,372,100
"Obersiebenbrunn_I-XIII, Anlage 11",-,---,13,2e3,E70 E4,2006,48.28351034,16.70188795,-,Enercon,86,71,"Obersiebenbrunn I-XIII, Anlage 11",Obersiebenbrunn_I-XIII,373,90
"Obersiebenbrunn_I-XIII, Anlage 12",-,---,13,2e3,E70 E4,2006,48.29421611,16.70041401,-,Enercon,86,71,"Obersiebenbrunn I-XIII, Anlage 12",Obersiebenbrunn_I-XIII,374,95
"Obersiebenbrunn_I-XIII, Anlage 13",-,---,13,2e3,E70 E4,2006,48.28214077,16.67426792,-,Enercon,86,71,"Obersiebenbrunn I-XIII, Anlage 13",Obersiebenbrunn_I-XIII,375,90
"Auersthal,_Anlage 1",WEB Windenergie AG,---,10,2e3,V90,2006,48.342748,16.645182,www.windenergie.at,Vestas,105,90,"Auersthal, Anlage 1",Auersthal,376,95
"Auersthal,_Anlage 2",WEB Windenergie AG,---,10,2e3,V90,2006,48.35201,16.652204,www.windenergie.at,Vestas,105,90,"Auersthal, Anlage 2",Auersthal,377,95
"Auersthal,_Anlage 3",WEB Windenergie AG,---,10,2e3,V90,2006,48.356712,16.654519,www.windenergie.at,Vestas,105,90,"Auersthal, Anlage 3",Auersthal,378,100
"Auersthal,_Anlage 4",WEB Windenergie AG,---,10,2e3,V90,2006,48.356449,16.666535,www.windenergie.at,Vestas,105,90,"Auersthal, Anlage 4",Auersthal,379,100
"Auersthal,_Anlage 5",WEB Windenergie AG,---,10,2e3,V90,2006,48.346028,16.654822,www.windenergie.at,Vestas,105,90,"Auersthal, Anlage 5",Auersthal,380,95
"Auersthal,_Anlage 6",WEB Windenergie AG,---,10,2e3,V90,2006,48.340642,16.632088,www.windenergie.at,Vestas,105,90,"Auersthal, Anlage 6",Auersthal,381,85
"Auersthal,_Anlage 7",WEB Windenergie AG,---,10,2e3,V90,2006,48.344078,16.633193,www.windenergie.at,Vestas,105,90,"Auersthal, Anlage 7",Auersthal,382,95
"Auersthal,_Anlage 8",WEB Windenergie AG,---,10,2e3,V90,2006,48.348661,16.634183,www.windenergie.at,Vestas,105,90,"Auersthal, Anlage 8",Auersthal,383,85
"Auersthal,_Anlage 9",WEB Windenergie AG,---,10,2e3,V90,2006,48.347494,16.644528,www.windenergie.at,Vestas,105,90,"Auersthal, Anlage 9",Auersthal,384,90
"Auersthal,_Anlage 10",WEB Windenergie AG,---,10,2e3,V90,2006,48.352499,16.66514,www.windenergie.at,Vestas,105,90,"Auersthal, Anlage 10",Auersthal,385,90
"Kettlasbrunn,_Anlage 1",evn naturkraft Erzeugungsgesellschaft m.b.H,---,20,2e3,E70/E4,2006,48.54337987,16.6164036,www.evn-naturkraft.at,Enercon,86,71,"Kettlasbrunn, Anlage 1",Kettlasbrunn,386,90
"Kettlasbrunn,_Anlage 2",evn naturkraft Erzeugungsgesellschaft m.b.H,---,20,2e3,E70/E4,2006,48.53996808,16.64586602,www.evn-naturkraft.at,Enercon,86,71,"Kettlasbrunn, Anlage 2",Kettlasbrunn,387,100
"Kettlasbrunn,_Anlage 3",evn naturkraft Erzeugungsgesellschaft m.b.H,---,20,2e3,E70/E4,2006,48.53255558,16.6467957,www.evn-naturkraft.at,Enercon,86,71,"Kettlasbrunn, Anlage 3",Kettlasbrunn,388,100
"Kettlasbrunn,_Anlage 4",evn naturkraft Erzeugungsgesellschaft m.b.H,---,20,2e3,E70/E4,2006,48.53237279,16.65118158,www.evn-naturkraft.at,Enercon,86,71,"Kettlasbrunn, Anlage 4",Kettlasbrunn,389,95
"Kettlasbrunn,_Anlage 5",evn naturkraft Erzeugungsgesellschaft m.b.H,---,20,2e3,E70/E4,2006,48.53369054,16.6427405,www.evn-naturkraft.at,Enercon,86,71,"Kettlasbrunn, Anlage 5",Kettlasbrunn,390,95
"Kettlasbrunn,_Anlage 6",evn naturkraft Erzeugungsgesellschaft m.b.H,---,20,2e3,E70/E4,2006,48.53689966,16.65317316,www.evn-naturkraft.at,Enercon,86,71,"Kettlasbrunn, Anlage 6",Kettlasbrunn,391,95
"Kettlasbrunn,_Anlage 7",evn naturkraft Erzeugungsgesellschaft m.b.H,---,20,2e3,E70/E4,2006,48.54162187,16.63600356,www.evn-naturkraft.at,Enercon,86,71,"Kettlasbrunn, Anlage 7",Kettlasbrunn,392,100
"Kettlasbrunn,_Anlage 8",evn naturkraft Erzeugungsgesellschaft m.b.H,---,20,2e3,E70/E4,2006,48.54238016,16.63140349,www.evn-naturkraft.at,Enercon,86,71,"Kettlasbrunn, Anlage 8",Kettlasbrunn,393,85
"Kettlasbrunn,_Anlage 9",evn naturkraft Erzeugungsgesellschaft m.b.H,---,20,2e3,E70/E4,2006,48.53598996,16.61181299,www.evn-naturkraft.at,Enercon,86,71,"Kettlasbrunn, Anlage 9",Kettlasbrunn,394,95
"Kettlasbrunn,_Anlage 10",evn naturkraft Erzeugungsgesellschaft m.b.H,---,20,2e3,E70/E4,2006,48.54039236,16.61348906,www.evn-naturkraft.at,Enercon,86,71,"Kettlasbrunn, Anlage 10",Kettlasbrunn,395,100
"Kettlasbrunn,_Anlage 11",evn naturkraft Erzeugungsgesellschaft m.b.H,---,20,2e3,E70/E4,2006,48.5368949,16.61690945,www.evn-naturkraft.at,Enercon,86,71,"Kettlasbrunn, Anlage 11",Kettlasbrunn,396,95
"Kettlasbrunn,_Anlage 12",evn naturkraft Erzeugungsgesellschaft m.b.H,---,20,2e3,E70/E4,2006,48.53650495,16.62189046,www.evn-naturkraft.at,Enercon,86,71,"Kettlasbrunn, Anlage 12",Kettlasbrunn,397,95
"Kettlasbrunn,_Anlage 13",evn naturkraft Erzeugungsgesellschaft m.b.H,---,20,2e3,E70/E4,2006,48.53881473,16.62243159,www.evn-naturkraft.at,Enercon,86,71,"Kettlasbrunn, Anlage 13",Kettlasbrunn,398,95
"Kettlasbrunn,_Anlage 14",evn naturkraft Erzeugungsgesellschaft m.b.H,---,20,2e3,E70/E4,2006,48.54112451,16.62297278,www.evn-naturkraft.at,Enercon,86,71,"Kettlasbrunn, Anlage 14",Kettlasbrunn,399,90
"Kettlasbrunn,_Anlage 15",evn naturkraft Erzeugungsgesellschaft m.b.H,---,20,2e3,E70/E4,2006,48.54540771,16.62189995,www.evn-naturkraft.at,Enercon,86,71,"Kettlasbrunn, Anlage 15",Kettlasbrunn,400,100
