X,Y,POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,CRIADOR,DATA_CRIAC,ATUALIZADO,DATA_ATUAL,EOL_VERSAO,NOME_EOL,DEN_AEG,VERSAO_ATU,DATUM,FUSO,X_1,Y_1,OPE_COM,PROPRIETAR,CEG,Datum_1,Fuso_1,Operacao,latitude,Long,Lat,Park,KW,id,quality
-41.50242689,-10.476102365,2.7,150,89,122,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1374,Campo Largo I,CLI-6,1,1,24,226072,8840859,1,CLWP Eólica Parque I Ltda.,EOLCVBA034613-6-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-10,-41.50242689,-10.476102365,Campo Larg,2700,16,100
-36.1539221149999,-5.91324149799993,2.1,136,80,114,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1455,Santa Rosa e Mundo Novo I,SRMN-I-1,1,1,24,815151,9345579,2,Central Eólica SRMN I S.A.,EOLCVRN035210-1-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-6,-36.153922115,-5.913241498,Santa Rosa,2100,17,100
-36.4075887,-5.4212138,2.1,177,120,114,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1460,Cardeiro 1,CAR 1-14,1,1,24,787285.675899,9400160.71482,2,Case Eólica Ltda.,EOLCVRN037758-9-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-5,-36.4075887,-5.4212138,Cardeiro 1,2100,18,100
-42.703858289,-13.833364913,2.7,151,90,122,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,578,Amescla,2,1,1,23,748199,8469513,2,Centrais Eólicas Amescla S.A.,EOLCVBA032090-0-01,SIRGAS 2000,UTM 23S (MER -45),NÃO,-14,-42.703858289,-13.833364913,Amescla,2700,19,100
-40.697399393,-7.35960643899995,1.85,121.25,80,82.5,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1075,Ventos de Santo Augusto III,AUG_III-11,1,1,24,312641,9186142,1,Ventos de Santo Augusto III Energias Renováveis S.A,EOLCVPI031662-8-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-7,-40.697399393,-7.359606439,Ventos de,1850,20,100
-41.678245943,-2.85859020399994,2.2,133.5,80,107,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1126,Porto do Delta,PD-12,1,1,24,202238,9683690,1,Porto do Delta Energia S.A.,EOLCVPI030639-8-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-3,-41.678245943,-2.858590204,Porto do D,2200,21,100
-42.6390730479999,-14.4771040909999,2,126.5,78,97,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1191,Papagaio,3,1,1,23,754487,8398196,2,Papagaio Energia S.A.,EOLCVBA031511-7-01,SIRGAS 2000,UTM 23S (MER -45),NÃO,-14,-42.639073048,-14.477104091,Papagaio,2e3,22,100
-35.9842815489999,-5.16429101199998,2.1,175,120,110,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1240,São Miguel II,SM II 02,1,1,25,169115,9428399,2,Central Geradora Eólica São Miguel II S.A,EOLCVRN033645-9-01,SIRGAS 2000,UTM 25S (MER -33),NÃO,-5,-35.984281549,-5.164291012,São Miguel,2100,23,100
-37.6902487689999,-4.61363562399993,2.1,153.7,120,110,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,249,Ventos de Horizonte,HO-03,1,1,24,645286,9489910,2,Energia dos Ventos X S.A.,EOLCVCE030925-7-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-5,-37.690248769,-4.613635624,Ventos de,2100,24,100
-35.930292574,-5.10849943899996,2,145,95,100,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,205,Dreen Boa Vista,BV03,1,1,25,175078,9434602,1,GE Boa Vista S.A.,EOLCVRN030512-0-01,SIRGAS 2000,UTM 25S (MER -33),SIM,-5,-35.930292574,-5.108499439,Dreen Boa,2e3,25,100
-36.041429094,-5.35035682599994,2,148.5,100,97,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,789,Baixa do Feijão III,WTG-4-III,1,1,24,827934.255,9407817.563,1,Central Eólica Baixa do Feijão III S.A.,EOLCVRN030934-6-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-5,-36.041429094,-5.350356826,Baixa do F,2e3,26,100
-40.741070248,-7.51999276299995,2,126.5,78,97,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,816,Ventos de Santa Joana XIV,JOA_XIV-14,1,1,24,307889,9168385,1,Ventos de Santa Joana XIV Energias Renováveis S.A.,EOLCVPI031368-8-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-8,-40.741070248,-7.519992763,Ventos de,2e3,27,100
-39.8813072679999,-2.97518138299995,3,162.5,100,125,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,837,Itarema V,6,1,1,24,402060,9671111,1,Eólica Itarema V S.A.,EOLCVCE031482-0-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-3,-39.881307268,-2.975181383,Itarema V,3e3,28,100
-42.651295462,-13.820949228,2.7,150,89,122,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,887,Carrancudo,CDO-04,1,1,23,753897,8470832,2,Centrais Eólicas Carrancudo S.A.,EOLCVBA032097-8-01,SIRGAS 2000,UTM 23S (MER -45),NÃO,-14,-42.651295462,-13.820949228,Carrancudo,2700,29,100
-40.6787463209999,-7.72394082099993,2.3,133.5,80,107,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,915,Ventos de Santo Augusto VII,AUG_VII_02,1,1,24,314855.5,9145856.1,1,Ventos de Santo Augusto VII Energias Renováveis S.A.,EOLCVPI031749-7-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-8,-40.678746321,-7.723940821,Ventos de,2300,30,100
-42.619935706,-13.9123265759999,2.35,130,80,100,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,200,Joana,AEG3,1,1,23,757188,8460685,1,Enel Green Power Joana Eólica S.A.,EOLCVBA030801-3-01,SIRGAS 2000,UTM 23S (MER -45),SIM,-14,-42.619935706,-13.912326576,Joana,2350,31,100
-42.541187194,-14.288926734,2.7,150,89,122,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,289,Abil,ABL_08,1,1,23,765266,8418914,2,Centrais Eólicas Abil S.A.,EOLCVBA031402-1-01,SIRGAS 2000,UTM 23S (MER -45),NÃO,-14,-42.541187194,-14.288926734,Abil,2700,32,100
-42.594197789,-14.301999893,1.85,121.25,80,82.5,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,507,Corrupião,COR-014,1,5,23,759529,8417527,1,Central Eólica Corrupião S.A.,EOLCVBA030752-1-01,WGS 84,UTM 23S (MER -45),SIM,-14,-42.594197789,-14.301999893,Corrupião,1850,33,100
-41.450883709,-11.8712133,2,126.5,78,97,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,588,Maniçoba,Maniçoba 10,1,1,24,232998,8686512,2,Enel Green Power Maniçoba Eólica S.A.,EOLCVBA031337-8-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-12,-41.450883709,-11.8712133,Maniçoba,2e3,34,100
-49.580807379,-28.442738773,1.5,138.5,100,77,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1,Bom Jardim,UG 18,1,1,22,638971.9437,6852931.7499,1,Bom Jardim Energia Eólica S.A.,EOLCVSC029062-9-01,SIRGAS 2000,UTM 22S (MER -51),SIM,-28,-49.580807379,-28.442738773,Bom Jardim,1500,35,100
-42.613454904,-14.1119653649999,1.68,122,80,82.5,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,681,Ventos do Nordeste,VNE-06,1,1,23,757665.692629,8438581.87524,1,Centrais Eólicas Ventos do Nordeste S.A.,EOLCVBA030476-0-01,SIRGAS 2000,UTM 23S (MER -45),SIM,-14,-42.613454904,-14.111965365,Ventos do,1680,36,100
-53.3885046409999,-33.6723688779999,2,126.5,78,97,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,176,Chuí II,UG16,1,1,22,278558.66,6271610.14,1,Eólica Chuí II S.A.,EOLCVRS030790-4-01,SIRGAS 2000,UTM 22S (MER -51),SIM,-34,-53.388504641,-33.672368878,Chuí II,2e3,37,100
-42.5641123949999,-14.1223505209999,1.68,122,80,82.5,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,531,Dos Araçás,ARA-05,1,1,23,762983.897927,8437377.67225,1,Centrais Eólicas dos Araçás S.A.,EOLCVBA030495-6-01,SIRGAS 2000,UTM 23S (MER -45),SIM,-14,-42.564112395,-14.122350521,Dos Araçás,1680,38,100
-40.946910827,-9.6438504499999,2,126.5,78,97,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,719,Mandacaru,MAN-15,1,1,24,286360,8933356,2,Parque Eólico Sobradinho Ltda.,EOLCVBA034427-3-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-10,-40.946910827,-9.64385045,Mandacaru,2e3,39,100
-41.472921414,-11.8530763969999,2,138.5,90,97,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,748,Dois Riachos,Dois Riachos 15,1,1,24,230578,8688498,1,Enel Green Power Dois Riachos Eólica S.A.,EOLCVBA031121-9-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-12,-41.472921414,-11.853076397,Dois Riach,2e3,40,100
-35.8428141969999,-5.39485882699995,2.3,130.5,80,101,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,673,Costa Branca,CBR-08,1,1,25,184930,9402953,1,SPE Costa Branca Energia S.A.,EOLCVRN030672-0-01,SIRGAS 2000,UTM 25S (MER -33),SIM,-5,-35.842814197,-5.394858827,Costa Bran,2300,41,100
-35.4511425389999,-5.54023828699997,2.7,150,89,122,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,778,Riachão VI,AEG 8,1,1,25,228433,9387057,1,Central Eólica Apeliotes Ltda,EOLCVRN030872-2-01,SIRGAS 2000,UTM 25S (MER -33),SIM,-6,-35.451142539,-5.540238287,Riachão VI,2700,42,100
-36.770123258,-6.87494757899998,2.1,137,80,114,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1558,Canoas 4,CAN 4.16,1,1,24,746418,9239501,2,Canoas 4 Energia Renovável S.A.,EOLCVPB037953-0-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-7,-36.770123258,-6.874947579,Canoas 4,2100,43,100
-41.468973848,-12.086150135,2.3,176,118,116,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,102869,Ventos da Bahia XXVII,SP27-01,1,1,24,231239,8662707,2,NA,EOLCVBA034889-9-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-12,-41.468973848,-12.086150135,Ventos da,2300,44,100
-41.176456421,-9.78282719699996,2,165,110,110,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1549,São Pelegrino 1,SP1-10,1,1,24,261259,8917828,2,Cataventos Energética Ltda.,EOLCVBA040648-1-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-10,-41.176456421,-9.782827197,São Pelegr,2e3,45,100
-41.571554165,-10.7056722689999,2.5,148,90,116,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1586,Umburanas 16,UMB_16_07,1,1,24,218710,8815391,2,Centrais Eólicas Umburanas 12 Ltda.,EOLCVBA031755-1-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-11,-41.571554165,-10.705672269,Umburanas,2500,46,100
-41.3203558229999,-11.5289466519999,3,182.5,120,125,SGI_EDITOR_5,2019-01-29,SGI_EDITOR_5,2019-01-29,1621,Ventos de Santa Esperança 26,VSE26-02,1,1,24,246914,8724509,2,Enel Green Power Ventos de Santa Esperança 26 S.A.,EOLCVBA034514-8-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-12,-41.320355823,-11.528946652,Ventos de,3e3,47,100
-36.4153366,-5.3889383,2.1,177,120,114,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1462,Cardeiro 3,CAR  3 - 08,1,1,24,786441.678561,9403735.70777,2,Case Eólica Ltda.,EOLCVRN037760-0-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-5,-36.4153366,-5.3889383,Cardeiro 3,2100,48,100
-41.3195857699999,-11.070048033,2.35,144,98,92,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1482,Serra da Babilônia X,SDB-X-A-02,1,1,24,246595,8775290,1,Eólica Serra da Babilônia X S.A.,EOLCVBA032469-8-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-11,-41.31958577,-11.070048033,Serra da B,2350,49,100
-41.561875401,-8.64017736899996,3,182.5,120,125,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1219,Aura Lagoa do Barro 6,ALB-6-04,1,1,24,217970,9043455,1,Lagoa do Barro VI Energias Renováveis S.A.,EOLCVPI033624-6-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-9,-41.561875401,-8.640177369,Aura Lagoa,3e3,50,100
-41.4541812319999,-8.49370090099995,3,182.5,120,125,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1531,Ventos de Santa Angela 07,AN07-09,1,1,24,229807,9060267,2,Enel Green Power Ventos de Santa Ângela 7 S.A.,EOLCVPI033011-6-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-8,-41.454181232,-8.493700901,Ventos de,3e3,51,100
-35.771678967,-5.33877545299993,2.1,155,98,114,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1518,Aventura III,AVII_III-19,1,1,25,192792,9409196,2,Central Eólica Aventura II S.A.,EOLCVRN033026-4-01,SIRGAS 2000,UTM 25S (MER -33),NÃO,-5,-35.771678967,-5.338775453,Aventura I,2100,52,100
-40.8692768129999,-9.96601808599996,2,135,80,110,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1562,Zeus II,SP02-06,1,1,24,295080,8897766,2,Enel Green Power Zeus II - Delfina 8 S.A.,EOLCVBA035266-7-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-10,-40.869276813,-9.966018086,Zeus II,2e3,53,100
-35.857872411,-5.09850784699995,2.1,177,120,114,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1273,União dos Ventos 12,UV12-11,1,1,25,183110,9435744,1,Forte Canto de Baixo Geradora Eólica S.A.,EOLCVRN031645-8-01,SIRGAS 2000,UTM 25S (MER -33),SIM,-5,-35.857872411,-5.098507847,União dos,2100,54,100
-35.978280008,-5.40924315299998,2,150,95,110,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1310,Cabeço Preto III,CPIII_05,1,1,25,169911,9401289,1,Gestamp Eólica Agreste S.A.,EOLCVRN031015-8-01,SIRGAS 2000,UTM 25S (MER -33),SIM,-5,-35.978280008,-5.409243153,Cabeço Pre,2e3,55,100
